task_id,task_name,section_id,section_name
TASK-001,"Name Reservation",SEC-001,"Company Registration Section"
TASK-002,"Company Incorporation",SEC-001,"Company Registration Section"
TASK-003,"Change of Company Name",SEC-001,"Company Registration Section"
TASK-004,"Annual Return Filing",SEC-002,"Compliance & Annual Filings"
TASK-005,"Financial Statement Filing",SEC-002,"Compliance & Annual Filings"
TASK-006,"Charge Document Filing",SEC-002,"Compliance & Annual Filings"
TASK-007,"Change of Registered Office",SEC-003,"Amendments"
TASK-008,"Change of Directors",SEC-003,"Amendments"
TASK-009,"Change of Share Capital",SEC-003,"Amendments"
TASK-010,"Change of Articles",SEC-003,"Amendments"
TASK-011,"Company Search Request",SEC-004,"Search & Inspection"
TASK-012,"Document Inspection",SEC-004,"Search & Inspection"
TASK-013,"Certified Copy Request",SEC-004,"Search & Inspection"
TASK-014,"Public Extracts",SEC-004,"Search & Inspection"
TASK-015,"Company Strike Off Application",SEC-005,"Closure / Strike Off"
TASK-016,"Winding Up Application",SEC-005,"Closure / Strike Off"
TASK-017,"Dissolution Certificate",SEC-005,"Closure / Strike Off"
TASK-018,"Duplicate Incorporation Certificate",SEC-006,"Miscellaneous Services"
TASK-019,"Correction / Rectification Request",SEC-006,"Miscellaneous Services"
TASK-020,"Other Special Requests",SEC-006,"Miscellaneous Services"
